treatment,small_car_length,large_car_length,rel_car_length,small_win,recent_winner_wins
small_winner,7.412,7.453,0.00550114,0,1
small_winner,6.734,7.592,0.113013699,0,1
small_winner,6.435,8.085,0.204081633,0,1
small_winner,5.965,6.75,0.116296296,0,1
small_winner,6.664,6.802,0.020288151,0,1
small_winner,4.533,7.952,0.429954728,0,1
small_winner,7.47,8.889,0.159635505,0,1
small_winner,7.354,8.644,0.149236465,1,0
small_winner,6.337,7.125,0.110596491,0,1
small_winner,6.435,7.049,0.087104554,0,1
small_winner,5.757,6.881,0.163348351,0,1
small_loser,7.356,8.155,0.097976701,1,1
small_loser,6.715,8.293,0.19028096,0,0
small_loser,6.891,7.516,0.083155934,1,1
small_loser,6.5,7.073,0.0810123,0,0
small_loser,6.037,7.073,0.146472501,1,1
small_loser,6.56,6.711,0.022500373,1,1
small_loser,5.827,7.981,0.269890991,0,0
small_loser,7.682,9.511,0.192303648,0,0
small_loser,7.414,8.305,0.107284768,1,1
small_loser,6.295,7.292,0.136725178,1,1
small_loser,6.715,6.896,0.0262471,1,1
small_loser,5.857,6.833,0.142836236,0,0
no_experience,6.206,6.47,0.040803709,0,NA
no_experience,4.533,6.295,0.279904686,0,NA
no_experience,6.55,7.049,0.070790183,0,NA
no_experience,5.827,6.896,0.155017401,0,NA
no_experience,6.358,7.354,0.135436497,1,NA
no_experience,6.802,9.511,0.284828094,0,NA
no_experience,6.56,7.981,0.178047864,0,NA
no_experience,6.711,7.414,0.09482061,0,NA
no_experience,7.47,7.682,0.02759698,0,NA
no_experience,6.14,8.644,0.289680703,0,NA
no_experience,7.952,8.305,0.042504515,1,NA
no_experience,6.664,8.889,0.250309371,0,NA
no_experience,6.337,7.292,0.130965442,0,NA
no_experience,6.891,7.592,0.092334036,0,NA
no_experience,6.037,6.74,0.104302671,1,NA
no_experience,6.833,7.516,0.090872805,1,NA
no_experience,6.734,6.75,0.00237037,0,NA
no_experience,6.715,7.453,0.099020529,0,NA
no_experience,7.356,8.293,0.112986856,0,NA
no_experience,6.668,6.881,0.030954803,1,NA
no_experience,6.5,8.155,0.20294298,0,NA
no_experience,7.073,7.527,0.060316195,1,NA
no_experience,5.857,6.348,0.077347196,0,NA
no_experience,3.739,8.085,0.537538652,0,NA
no_experience,6.91,7.412,0.067728009,0,NA
no_experience,5.757,5.965,0.034870075,1,NA